,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
0,0.8285383,0.8798403,0.95515335,1.0395193,1.6255958,2.094535,1.8179816,2.0647266
1,0.9252777,1.0755415,0.77469206,0.89356387,1.7839217,1.8595555,1.7048126,1.8665409
2,0.8192282,1.0074831,1.0357946,0.8352338,1.717068,2.1125393,2.063239,1.6828762
3,0.840117,0.9583385,0.9999425,0.8252049,1.7054433,1.8158902,2.0576725,1.662069
4,0.9298388,1.0322886,0.83596146,1.0247614,2.3352919,2.128698,2.1926136,1.8738635
5,1.1851528,0.94027823,1.1175487,1.0350342,1.8391334,1.7911745,2.0786452,2.0702357
6,1.0166819,1.0445069,0.9499021,0.86274195,1.7564124,1.9898791,1.7595826,1.7300075
7,0.8391177,0.8973597,0.86838734,0.7818306,1.7776763,1.6408668,1.5416169,1.9646307
8,0.90989405,0.9324334,1.0498056,0.91053313,2.002076,1.9975784,1.9069823,2.0458696
9,0.8641672,1.0136876,0.8210406,0.80305016,1.9268645,2.0708404,1.9396147,1.7682983
10,0.86091447,1.0893434,0.86329347,0.8797553,1.7190357,1.9621878,2.0267606,1.9791585
11,0.83417314,0.98355997,0.9592883,0.9244574,1.8276912,2.631519,2.1418035,1.7286805
12,0.740295,1.0153781,0.8236092,0.83777106,1.4824291,2.0060415,2.0301878,1.9773493
13,1.1390764,0.9887962,1.0984523,0.9670508,2.2442894,1.8871628,2.0116472,2.5077307
14,0.7498255,0.8074535,0.71063185,0.7458365,1.372083,1.7716529,1.4633368,1.7195787
15,1.0182991,0.95044696,1.0196724,0.8692168,2.6282866,1.9584506,2.2711508,2.1376529
16,0.85803056,0.98322636,1.0384439,0.92031,1.4599868,1.8129398,1.6548656,1.665436
17,0.5132042,0.4621879,0.28175974,0.3705842,1.3705647,1.2705843,1.2795135,1.3248165
18,0.75043976,0.6195103,0.5958669,0.5412726,1.4995373,1.5353162,1.48931,1.5229706
19,1.3377211,1.1576755,1.02125,1.2151318,2.1455395,1.9136273,1.8531728,1.8496721
20,1.0057405,1.0341462,0.9678185,0.975482,1.7379452,1.6067445,2.150305,1.9376391
21,0.51400447,0.6696335,0.46427882,0.48761445,1.3433537,1.4708729,1.2471092,1.1615207
22,0.76721036,0.9793607,0.851864,0.8055769,1.9461101,2.1994007,2.136082,1.819339
23,1.3636926,1.4572226,1.4244936,1.4471421,2.1279986,2.6293428,3.0904305,1.9661918
24,1.1887906,0.7896813,0.8601428,0.8658812,2.6313362,1.6583693,2.1965141,1.6732537
25,1.0107286,1.0589738,0.9297199,1.0458384,1.8008956,1.7768867,1.8609849,2.4238985
26,0.8046384,1.0184752,0.8679499,0.87109846,1.5882372,1.5400063,1.8031545,2.0077224
27,1.3077672,1.3242038,1.0873578,1.1173438,2.106493,2.704653,2.1484246,1.9484164
28,1.1147028,0.9803728,0.9128436,1.1353732,2.0244365,1.8334427,1.859843,2.4024475
29,0.99412435,0.9100687,0.7881526,0.8923289,1.6207213,1.6444076,1.6406904,1.6859732
30,0.90853,1.155313,1.1162846,1.0133862,1.924787,2.275537,2.2016866,2.0682206
31,1.3540199,1.3001554,1.4673191,1.2687578,2.334733,1.8528041,2.2851048,2.1028664
32,0.968325,0.9170938,0.87542117,1.0766377,1.7413826,2.0169938,2.0321624,2.1685271
33,0.755217,0.74422556,0.78970397,0.66532266,1.5837713,1.4096236,1.3793133,1.6045747
34,1.4187906,1.4052316,1.2304556,1.2951131,2.2201552,2.224153,1.8117771,2.2837822
35,1.1375203,1.3381101,1.0439066,1.3937488,1.7224597,2.349348,2.2270207,2.622733
36,0.97297263,1.0456994,0.9390762,1.0639529,1.6941086,1.5840849,1.58339,2.1949394
37,0.72985494,0.755393,0.74034166,0.7863739,1.5240026,1.2988698,1.5340396,1.4853756
38,0.80921113,0.78017473,0.67250764,0.82869625,1.5963879,1.4575616,1.3740488,1.639389
39,1.2534599,1.3426697,1.3137566,1.247977,1.8955786,2.222385,2.249884,2.0739317
40,0.5028932,0.44837928,0.44265294,0.4522035,1.5939031,1.4280771,1.7764618,1.482092
41,0.33318806,0.41487908,0.3399961,0.36539555,1.5185531,1.3122821,1.5554154,1.3511926
42,0.2332393,0.21687686,0.13242543,0.31822193,1.074863,1.2328922,1.170747,2.105191
43,0.5415783,0.5772183,0.48794603,0.6515436,1.2111714,1.2364839,1.0865667,1.3432249
44,0.50516343,0.53423476,0.5072286,0.43426526,1.9685992,1.5442996,1.7315935,1.3503923
45,0.695187,0.7579603,0.697682,0.7221031,2.152959,2.0503404,1.6752347,1.8021947
46,0.50317264,0.36765337,0.3894379,0.60810447,1.3106393,0.97692716,1.6018707,1.8700259
47,0.6424837,0.853222,0.69219124,0.7145786,1.4787877,2.1394613,1.442701,1.5783461
48,0.44202793,0.44173336,0.3259356,0.4382608,1.1268109,1.3017299,1.4364198,1.1687503
49,0.7526686,0.7212378,0.6872802,0.81666714,1.6322664,1.572386,1.3275423,1.6126956
50,0.6375141,0.5029211,0.58760285,0.49316514,1.7261999,1.413085,1.3290627,1.3037741
51,0.48375487,0.6307467,0.6316265,0.6909075,1.2759748,1.9513069,1.646987,1.6691053
52,0.78391206,0.5693891,0.6730964,0.7503725,2.1360083,1.1803013,1.6619191,1.5986068
53,0.76111555,0.8311516,0.78313243,0.77174276,1.4330949,1.6284492,1.3582869,1.539234
54,0.78164625,0.91112363,0.8426198,0.8727968,1.7266477,2.0128636,1.9451497,1.6680127
55,0.78319764,0.76949245,0.66536945,0.79637605,1.7445725,1.8057973,1.2914467,1.9824721
56,0.835538,0.6710994,0.5917094,0.63539696,2.6968863,1.5412219,1.3607869,1.5320916
57,0.7665136,0.8888701,0.7594497,0.911342,1.3967611,1.4036818,1.4864452,1.5327199
