,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
0,0.086214066,0.09740353,0.0827173,0.07857931,0.8641196,0.8816215,0.91846204,0.9348737
1,0.35149968,0.37698483,0.35483813,0.33673084,1.0022366,0.99924874,0.9965282,1.2613413
2,0.3200457,0.4289605,0.30326372,0.3189082,1.2178522,1.2866248,1.2294817,1.2929834
3,0.20111251,0.14777696,0.15904939,0.25922775,1.1250659,0.9040152,0.8522586,0.94621634
4,0.3222921,0.31105638,0.29082012,0.21275318,1.404891,1.3105773,1.2939883,1.3245958
5,0.33827162,0.27499712,0.27655578,0.27669358,1.2301563,1.1124042,1.1189487,1.0566695
6,0.31591415,0.34820843,0.31355357,0.28220284,0.90208495,0.78600526,0.88854754,0.8757254
7,0.2496627,0.24425662,0.13924423,0.1808401,1.0844781,1.0490363,1.0292935,1.1100022
8,0.36654854,0.29166353,0.2731477,0.27581525,1.1018263,1.1285864,1.140478,1.0531071
9,0.3383205,0.3255778,0.29186702,0.23460847,1.1043663,1.0639474,1.1959959,1.1995882
10,0.25134206,0.18379688,0.23171633,0.20348841,1.3374312,1.2542611,1.2960688,1.3204819
11,0.26765943,0.12641144,0.19792783,0.21756399,0.9681438,0.979781,0.96486837,1.0130655
12,0.24743116,0.28994524,0.27462995,0.19488716,1.2048109,1.0576694,1.1713713,1.3285197
13,0.18715131,0.21235669,0.21677089,0.20670438,1.0042098,0.9735158,0.918488,1.090007
14,0.11962426,0.10685277,0.1311664,0.09330064,0.88089085,0.86829406,0.87705404,0.9301771
15,0.32356858,0.17713344,0.24470007,0.2396301,1.0654663,1.1294428,1.1224502,1.1107581
16,0.2064271,0.17204702,0.19503152,0.14245641,0.75181216,0.82878804,0.73654246,0.7472966
17,0.23486447,0.29297704,0.21842974,0.3063317,0.8998513,0.9929972,0.93422157,0.9931034
18,0.2882552,0.23300028,0.2264067,0.18995202,0.8533334,0.77489036,0.7914873,0.84086496
19,0.053373337,0.05598855,0.051847696,0.04310596,0.88245326,0.86230433,0.8816919,0.9667312
20,0.14856958,0.14441943,0.15286958,0.13132131,1.1825979,1.1552712,1.1815307,1.2783293
21,0.24947935,0.22791362,0.28507036,0.2436528,0.9272984,0.89493734,0.90068835,0.9343515
22,0.39085454,0.41039175,0.38615134,0.38868815,1.1481719,1.1979816,1.2384644,1.2283552
23,0.030454636,0.03589368,0.0305264,0.02820599,0.66361606,0.67671627,0.6469735,0.6530225
24,0.24592757,0.33804464,0.17855746,0.2424246,1.313572,1.9324152,1.2754214,1.3660331
25,0.41815782,0.38893998,0.3109213,0.44563556,1.0642127,1.0248746,1.0389669,0.9875266
26,0.1373955,0.13156497,0.14570618,0.13283777,0.8490292,0.9213788,0.81869876,0.93569136
27,0.19403839,0.26698422,0.16633356,0.2361905,1.0746787,0.99935275,1.0089917,1.1366979
28,0.17052436,0.21109629,0.37698096,0.21306396,1.2203605,1.101924,1.1785535,1.2807475
29,0.22559547,0.21076131,0.20365214,0.20760727,0.89073306,0.8683118,0.8149115,0.91785645
30,0.25682974,0.24676049,0.24299228,0.23775399,0.9000609,0.9483182,0.85282826,0.9427848
31,0.23999429,0.28520155,0.21878111,0.39761794,1.1460297,1.1477497,1.0875936,1.1658309
32,0.23130357,0.19416249,0.25962973,0.27225113,0.9723742,0.9879724,1.0103476,0.9959073
33,0.033539414,0.032228112,0.030171156,0.036271214,0.8235416,0.79083264,0.81413925,0.8459559
34,0.29869413,0.26268983,0.3306558,0.27698934,0.92376643,0.9798467,0.94853103,0.98559356
35,0.33832753,0.25662363,0.29805607,0.4143052,1.0501528,0.9494192,1.0066918,1.0286908
36,0.1532532,0.2105838,0.20853496,0.14413333,1.0616896,1.018478,0.9787311,1.0342106
37,0.053668022,0.057289124,0.055116057,0.054865837,0.7695366,0.7768242,0.8146289,0.79354364
38,0.14837122,0.21832895,0.23640084,0.20842016,1.2430946,1.2670947,1.238198,1.3072839
39,0.4102422,0.38561976,0.3083316,0.32949495,1.0843772,1.0624949,1.0628445,1.072979
40,0.13570738,0.101195335,0.13458776,0.12295151,1.4818952,1.513512,1.5091656,1.6471752
