,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
0,-0.93049264,-0.65044206,-0.43280438,-0.30821776,1.6255958,2.094535,1.8179816,2.0647266
1,-0.8213054,-0.6382443,-0.5585321,-0.45600784,1.7839217,1.8595555,1.7048126,1.8665409
2,-0.17010835,0.17732099,0.36983302,0.42486218,1.717068,2.1125393,2.063239,1.6828762
3,-0.5461973,-0.24387288,-0.10800557,0.02799416,1.7054433,1.8158902,2.0576725,1.662069
4,-1.2965211,-1.1805797,-1.0829356,-0.93081427,2.3352919,2.128698,2.1926136,1.8738635
5,-0.018673778,0.07082168,0.43329418,0.586941,1.8391334,1.7911745,2.0786452,2.0702357
6,-0.723113,-0.38449273,-0.2709629,-0.10643393,1.7564124,1.9898791,1.7595826,1.7300075
7,-0.31436342,-0.0030964457,0.17659615,0.4140392,1.7776763,1.6408668,1.5416169,1.9646307
8,-0.8282748,-0.4210505,-0.23137058,-0.083862536,2.002076,1.9975784,1.9069823,2.0458696
9,-0.77999604,-0.40869665,-0.37802798,-0.32875618,1.9268645,2.0708404,1.9396147,1.7682983
10,-1.3022826,-0.84484994,-0.8093037,-0.55485636,1.7190357,1.9621878,2.0267606,1.9791585
11,-0.5050128,-0.15470256,-0.0017168754,0.25803185,1.8276912,2.631519,2.1418035,1.7286805
12,0.060792264,0.503007,0.5778085,0.806467,1.4824291,2.0060415,2.0301878,1.9773493
13,-0.19977094,0.0039325156,0.13723361,0.3236862,2.2442894,1.8871628,2.0116472,2.5077307
14,-0.7221751,-0.50533724,-0.42077842,-0.31302118,1.372083,1.7716529,1.4633368,1.7195787
15,-1.4689298,-1.1196424,-1.0416198,-1.0472411,2.6282866,1.9584506,2.2711508,2.1376529
16,-0.59148526,-0.22787945,-0.07091005,0.018972127,1.4599868,1.8129398,1.6548656,1.665436
17,-1.0805696,-0.8323606,-0.8309504,-0.48851138,1.3705647,1.2705843,1.2795135,1.3248165
18,-1.3174776,-1.2307603,-1.0563987,-0.9632402,1.4995373,1.5353162,1.48931,1.5229706
19,-0.22930983,-0.3630586,-0.25003582,-0.07797048,2.1455395,1.9136273,1.8531728,1.8496721
20,-0.73115456,-0.46142754,-0.39557853,-0.25761554,1.7379452,1.6067445,2.150305,1.9376391
21,-0.7542317,-0.51649666,-0.45375484,-0.31165898,1.3433537,1.4708729,1.2471092,1.1615207
22,-0.6034044,-0.1420988,-0.23338376,-0.14950171,1.9461101,2.1994007,2.136082,1.819339
23,-0.072655424,0.34283125,0.62630993,0.7439836,2.1279986,2.6293428,3.0904305,1.9661918
24,-0.9163024,-1.0667946,-0.8918648,-0.71295893,2.6313362,1.6583693,2.1965141,1.6732537
25,-1.343318,-0.96132916,-0.89956725,-0.63298565,1.8008956,1.7768867,1.8609849,2.4238985
26,-0.6295072,-0.19704778,-0.13199836,-0.016209042,1.5882372,1.5400063,1.8031545,2.0077224
27,-0.37466878,0.003573351,0.017820014,0.08186877,2.106493,2.704653,2.1484246,1.9484164
28,-0.5001631,-0.3717276,-0.23917128,0.17964764,2.0244365,1.8334427,1.859843,2.4024475
29,-0.8249927,-0.58148855,-0.54611015,-0.24772473,1.6207213,1.6444076,1.6406904,1.6859732
30,-0.73178566,-0.20772803,-0.092663944,-0.0096003795,1.924787,2.275537,2.2016866,2.0682206
31,-0.42522368,-0.36120814,-0.05034887,-0.06718752,2.334733,1.8528041,2.2851048,2.1028664
32,-1.1565186,-0.822414,-0.7965927,-0.46298915,1.7413826,2.0169938,2.0321624,2.1685271
33,-0.9357942,-0.7613023,-0.6100457,-0.47184363,1.5837713,1.4096236,1.3793133,1.6045747
34,-0.3815921,-0.18497021,-0.14121112,0.16720924,2.2201552,2.224153,1.8117771,2.2837822
35,-0.37731546,0.117382206,0.087793194,0.56737584,1.7224597,2.349348,2.2270207,2.622733
