,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
0,-2.638122,-2.1290445,-1.8902688,-1.8347229,0.8641196,0.8816215,0.91846204,0.9348737
1,-1.8175002,-1.4316304,-1.3654891,-1.090314,1.0022366,0.99924874,0.9965282,1.2613413
2,-1.3411815,-0.96832603,-0.9109023,-0.68160164,1.2178522,1.2866248,1.2294817,1.2929834
3,-1.4879686,-1.2791412,-0.98867273,-0.7819079,1.1250659,0.9040152,0.8522586,0.94621634
4,-1.635836,-1.2974498,-1.250991,-1.0656337,1.404891,1.3105773,1.2939883,1.3245958
5,-2.0447714,-1.7216746,-1.5099361,-1.419126,1.2301563,1.1124042,1.1189487,1.0566695
6,-1.8768661,-1.4854499,-1.1976411,-1.192474,0.90208495,0.78600526,0.88854754,0.8757254
7,-0.89568585,-0.6715047,-0.47900715,-0.25336882,1.0844781,1.0490363,1.0292935,1.1100022
8,-1.2013922,-0.8376367,-0.54242486,-0.54964507,1.1018263,1.1285864,1.140478,1.0531071
9,-1.0594378,-0.7920458,-0.6144753,-0.44096732,1.1043663,1.0639474,1.1959959,1.1995882
10,-1.3551824,-1.2160134,-0.9722424,-0.83671683,1.3374312,1.2542611,1.2960688,1.3204819
11,-1.7731607,-1.471561,-1.3427019,-0.9167286,0.9681438,0.979781,0.96486837,1.0130655
12,-1.7801892,-1.5453132,-1.3628466,-1.2147399,1.2048109,1.0576694,1.1713713,1.3285197
13,-1.5176947,-1.1450317,-1.0578474,-0.8369578,1.0042098,0.9735158,0.918488,1.090007
14,-1.1755664,-0.85167307,-0.7655462,-0.57806236,0.88089085,0.86829406,0.87705404,0.9301771
15,-2.0457313,-1.766592,-1.6355953,-1.4072907,1.0654663,1.1294428,1.1224502,1.1107581
16,-2.1193998,-1.7205138,-1.4412751,-1.2640582,0.75181216,0.82878804,0.73654246,0.7472966
17,-1.3237402,-0.9309154,-0.66939455,-0.52724147,0.8998513,0.9929972,0.93422157,0.9931034
18,-1.6913682,-1.4852046,-1.3018124,-1.1329744,0.8533334,0.77489036,0.7914873,0.84086496
19,-2.4255774,-1.7795483,-1.6010475,-1.86061,0.88245326,0.86230433,0.8816919,0.9667312
20,-1.5254133,-1.1710904,-0.9588065,-0.7898366,1.1825979,1.1552712,1.1815307,1.2783293
21,-0.85017806,-0.7029319,-0.49357754,-0.16805233,0.9272984,0.89493734,0.90068835,0.9343515
22,-0.86463004,-0.4554879,-0.15620992,0.077085786,1.1481719,1.1979816,1.2384644,1.2283552
23,-2.7622075,-2.2911446,-2.001713,-1.8317443,0.66361606,0.67671627,0.6469735,0.6530225
24,-1.1647604,-1.0731794,-0.8702609,-0.6789184,1.313572,1.9324152,1.2754214,1.3660331
25,-2.0723958,-1.7640334,-1.6940004,-1.4619539,1.0642127,1.0248746,1.0389669,0.9875266
26,-1.809061,-1.4243966,-1.2382985,-1.1618452,0.8490292,0.9213788,0.81869876,0.93569136
27,-1.547483,-1.0343788,-1.0133946,-0.59142846,1.0746787,0.99935275,1.0089917,1.1366979
28,-1.5644565,-1.3737329,-0.9703081,-1.0191541,1.2203605,1.101924,1.1785535,1.2807475
29,-2.123698,-1.5829966,-1.3351057,-1.2661062,0.89073306,0.8683118,0.8149115,0.91785645
30,-2.2852914,-1.8203138,-1.6108124,-1.4181789,0.9000609,0.9483182,0.85282826,0.9427848
31,-2.2072308,-1.8271158,-1.8214461,-1.415675,1.1460297,1.1477497,1.0875936,1.1658309
32,-1.8353697,-1.5419797,-1.3283846,-1.0693244,0.9723742,0.9879724,1.0103476,0.9959073
33,-1.6934761,-1.1842678,-0.9946265,-1.1504056,0.8235416,0.79083264,0.81413925,0.8459559
34,-2.734384,-2.1889973,-1.7984648,-1.9496313,0.92376643,0.9798467,0.94853103,0.98559356
35,-1.6131312,-1.2368823,-0.8687518,-0.60539925,1.0501528,0.9494192,1.0066918,1.0286908
36,-1.8040408,-1.545583,-1.4097922,-1.2066207,1.0616896,1.018478,0.9787311,1.0342106
37,-2.0353358,-1.3957818,-1.1246818,-1.2791109,0.7695366,0.7768242,0.8146289,0.79354364
38,-2.1496224,-1.702885,-1.4978615,-1.5838596,1.2430946,1.2670947,1.238198,1.3072839
39,-1.8765281,-1.6036514,-1.5389019,-1.2443936,1.0843772,1.0624949,1.0628445,1.072979
40,-5.4138565,-5.0192847,-4.94397,-5.0889244,1.4818952,1.513512,1.5091656,1.6471752
41,-2.935044,-2.424688,-2.2098205,-2.0020707,1.0131587,0.93556,1.0039942,1.090355
42,-1.7088575,-1.340891,-1.112798,-0.85801035,0.7933259,0.7516944,0.73787135,0.81090504
43,-3.3172398,-3.1307285,-2.9104173,-2.6341536,0.8696512,0.797624,0.8083292,0.8250131
44,-1.9592755,-1.6427232,-1.5017593,-1.4417506,1.1091967,1.085893,1.1506435,1.2256999
45,-3.2338588,-2.8199453,-2.6919925,-2.55001,0.94464254,0.94872123,0.98006773,0.95362973
46,-3.2506914,-2.9103718,-2.802981,-2.4129605,0.87055796,0.84600186,0.8531433,0.92325896
47,-2.183841,-1.9312267,-1.7235888,-1.5393445,0.87557626,0.8738116,0.83150107,0.91734135
48,-2.3256059,-1.8922298,-1.7799163,-1.7204027,1.0190868,0.979799,0.9836225,1.0117041
49,-1.8454326,-1.5754658,-1.4585857,-1.3680645,0.8126688,0.8480424,0.8171831,0.8397677
