,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
0,-1.7590309,-1.5302824,-1.3879577,-1.3477371,1.1658424,1.221349,1.165566,1.1151557
1,-1.7465831,-1.7137858,-1.3332242,-1.3495717,1.1782093,0.9874669,1.0858501,1.0260844
2,-0.9893365,-0.83016217,-0.6659616,-0.4103716,1.0937552,1.0224521,1.0291796,1.0770302
3,-1.3863143,-1.2022114,-1.1079481,-0.79721075,1.0833595,0.960107,0.9498657,1.2670231
4,-2.2263598,-2.2128682,-1.918897,-1.9555757,1.2047569,1.1609929,1.3335567,1.2648076
5,-1.2038265,-0.8694565,-0.68425447,-0.44809315,1.1287159,1.1317021,1.1373402,1.1983026
6,-1.739795,-1.4289997,-1.220865,-0.9691759,0.9309185,0.9488289,0.9695032,1.0295346
7,-1.1534811,-0.9004562,-0.6917912,-0.3677914,0.9942461,0.9852818,0.9346071,1.5017152
8,-1.7381688,-1.3534839,-1.2811762,-0.9943957,1.0803502,1.1988132,0.9539888,1.1453477
9,-1.6441633,-1.4223843,-1.1990685,-1.1318064,1.0378699,1.0725255,1.1619872,1.1705906
10,-2.163197,-1.9341934,-1.6725972,-1.4346117,1.0638344,0.97882825,1.0675384,1.1105776
11,-1.339186,-1.1382625,-0.96100515,-0.6664255,1.1687183,1.0644844,0.9784149,1.0718096
12,-0.6795027,-0.5123711,-0.24580066,-0.031304084,0.89852357,0.8692149,0.8656074,0.9996735
13,-1.3388473,-0.98486364,-0.96121866,-0.64336455,1.1301962,1.1606423,1.1433706,1.284698
14,-1.4720006,-1.3127908,-1.1314102,-1.0588577,1.0298641,0.9819693,0.83160007,0.8732941
15,-2.4872289,-2.0700893,-2.0612922,-1.9164579,1.1208642,1.0885395,1.0662209,1.1416956
16,-1.4495158,-1.2111058,-1.109354,-0.9013379,1.0250572,0.89398,0.84062076,0.92397547
17,-1.5937738,-1.2945485,-1.1127101,-0.8590956,0.81346416,0.8154967,0.8815503,1.1686149
18,-2.0679173,-1.8502706,-1.6522657,-1.5045128,0.79297674,0.84709746,0.9035077,0.79777616
19,-1.5670309,-1.5207341,-1.2712859,-1.2931023,1.0721253,1.1741148,1.1549668,1.1712694
20,-1.7368951,-1.4955738,-1.363397,-1.2330976,1.0558268,0.9925299,0.9547201,1.1037927
21,-1.2682362,-1.1861302,-0.91803366,-0.79927343,0.7932141,0.7431796,0.7761424,0.7903043
22,-1.3706148,-1.1214595,-1.0852478,-0.95507866,0.93121517,0.9700442,0.9381147,1.0412632
23,-1.4363481,-1.1143913,-0.79818356,-0.7031585,1.1316442,1.0765027,1.3096341,1.1592227
24,-2.105093,-1.856476,-1.7520076,-1.5788401,1.2048737,1.4888438,1.0816439,1.0944347
25,-2.3540466,-2.020303,-1.8292872,-1.678824,0.99942714,1.1456689,1.3732319,1.1470621
26,-1.4341456,-1.215523,-0.99994826,-0.8873075,1.0625181,0.975225,1.0447338,1.6339973
27,-1.682436,-1.3206306,-1.0695378,-1.035475,1.0863558,1.1312822,1.096399,1.2400955
28,-1.6148659,-1.3521004,-1.1520149,-0.95572555,1.0595833,1.0662713,0.99905884,1.0002816
29,-1.8191171,-1.4915572,-1.3342627,-1.1400536,0.9629441,0.9699496,1.0632218,1.3733001
30,-1.6403157,-1.363041,-1.2089485,-1.0229867,1.0109683,1.091468,1.4685614,1.0888121
31,-1.7792436,-1.6613636,-1.517668,-1.3359454,1.5395067,1.242629,1.0702037,1.2099509
32,-2.1248436,-1.7395078,-1.6720139,-1.539627,1.0941893,0.98031443,1.0774412,1.5295712
33,-1.6910112,-1.5055279,-1.3997496,-1.1371663,1.2054731,0.86799943,0.84449464,0.9252326
34,-1.8003826,-1.5902019,-1.3716668,-1.1279038,1.1812196,1.0546345,1.0598425,1.1927669
35,-1.5148357,-1.2207279,-0.95611334,-0.8263729,1.1817244,1.1034342,1.0532357,1.1310894
36,-1.7817316,-1.6724677,-1.5332319,-1.3759111,1.1716976,0.99234134,0.91043943,1.2121912
37,-1.6928766,-1.4723454,-1.228058,-1.1021289,0.8150788,0.79878443,0.84623826,0.88641286
38,-2.1888947,-2.025333,-1.8131584,-1.8164499,0.9556591,0.9036163,0.93069065,0.94641536
39,-1.7893583,-1.6130493,-1.4397068,-1.3226101,1.0256226,1.0199693,1.4434762,1.061571
40,-4.3503733,-4.255704,-4.115628,-3.942836,1.0298669,1.0456434,1.0214747,1.0992261
41,-3.6355166,-3.3851535,-2.974895,-3.0369062,1.0602125,1.0168962,1.0292435,0.97345865
42,-2.0904725,-1.7340109,-1.633016,-1.5194714,0.7918247,1.0373418,0.76404154,0.92726386
43,-2.7075145,-2.4192169,-2.1804085,-1.9776839,0.848029,0.7896544,0.76745784,0.78023976
44,-2.8054245,-2.5916166,-2.4820118,-2.3385053,0.9202069,0.8614045,0.83497864,0.8820605
45,-2.4656224,-2.1624088,-2.0085948,-1.7667236,0.9462445,0.96963847,0.9449435,0.9984438
46,-3.4918914,-3.0673428,-2.9918113,-2.9060836,0.8426488,0.8161315,0.8148489,0.8749291
