,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
0,-2.7243361,-2.226448,-1.9729861,-1.9133022,0.8641196,0.8816215,0.91846204,0.9348737
1,-2.169,-1.8086152,-1.7203273,-1.4270449,1.0022366,0.99924874,0.9965282,1.2613413
2,-1.6612272,-1.3972865,-1.214166,-1.0005099,1.2178522,1.2866248,1.2294817,1.2929834
3,-1.6890811,-1.4269181,-1.1477221,-1.0411357,1.1250659,0.9040152,0.8522586,0.94621634
4,-1.9581281,-1.6085062,-1.5418111,-1.2783868,1.404891,1.3105773,1.2939883,1.3245958
5,-2.383043,-1.9966717,-1.7864919,-1.6958196,1.2301563,1.1124042,1.1189487,1.0566695
6,-2.1927803,-1.8336583,-1.5111947,-1.4746768,0.90208495,0.78600526,0.88854754,0.8757254
7,-1.1453485,-0.9157613,-0.6182514,-0.43420893,1.0844781,1.0490363,1.0292935,1.1100022
8,-1.5679407,-1.1293002,-0.81557256,-0.8254603,1.1018263,1.1285864,1.140478,1.0531071
9,-1.3977582,-1.1176236,-0.9063423,-0.6755758,1.1043663,1.0639474,1.1959959,1.1995882
10,-1.6065245,-1.3998103,-1.2039587,-1.0402052,1.3374312,1.2542611,1.2960688,1.3204819
11,-2.0408201,-1.5979724,-1.5406297,-1.1342926,0.9681438,0.979781,0.96486837,1.0130655
12,-2.0276203,-1.8352585,-1.6374766,-1.4096271,1.2048109,1.0576694,1.1713713,1.3285197
13,-1.704846,-1.3573884,-1.2746183,-1.0436622,1.0042098,0.9735158,0.918488,1.090007
14,-1.2951907,-0.95852584,-0.8967126,-0.671363,0.88089085,0.86829406,0.87705404,0.9301771
15,-2.3693,-1.9437255,-1.8802954,-1.6469208,1.0654663,1.1294428,1.1224502,1.1107581
16,-2.325827,-1.8925608,-1.6363066,-1.4065146,0.75181216,0.82878804,0.73654246,0.7472966
17,-1.5586047,-1.2238925,-0.8878243,-0.83357316,0.8998513,0.9929972,0.93422157,0.9931034
18,-1.9796234,-1.7182049,-1.5282191,-1.3229264,0.8533334,0.77489036,0.7914873,0.84086496
19,-2.4789507,-1.8355368,-1.6528952,-1.903716,0.88245326,0.86230433,0.8816919,0.9667312
20,-1.6739829,-1.3155098,-1.1116761,-0.9211579,1.1825979,1.1552712,1.1815307,1.2783293
21,-1.0996574,-0.9308455,-0.7786479,-0.41170514,0.9272984,0.89493734,0.90068835,0.9343515
22,-1.2554846,-0.86587965,-0.54236126,-0.31160235,1.1481719,1.1979816,1.2384644,1.2283552
23,-2.7926621,-2.3270383,-2.0322394,-1.8599503,0.66361606,0.67671627,0.6469735,0.6530225
24,-1.4106879,-1.411224,-1.0488183,-0.921343,1.313572,1.9324152,1.2754214,1.3660331
25,-2.4905536,-2.1529734,-2.0049217,-1.9075894,1.0642127,1.0248746,1.0389669,0.9875266
26,-1.9464566,-1.5559616,-1.3840047,-1.294683,0.8490292,0.9213788,0.81869876,0.93569136
27,-1.7415214,-1.301363,-1.1797282,-0.82761896,1.0746787,0.99935275,1.0089917,1.1366979
28,-1.7349808,-1.5848292,-1.3472891,-1.232218,1.2203605,1.101924,1.1785535,1.2807475
29,-2.3492935,-1.7937579,-1.5387578,-1.4737135,0.89073306,0.8683118,0.8149115,0.91785645
30,-2.5421212,-2.0670743,-1.8538047,-1.6559329,0.9000609,0.9483182,0.85282826,0.9427848
31,-2.447225,-2.1123173,-2.0402272,-1.813293,1.1460297,1.1477497,1.0875936,1.1658309
32,-2.0666733,-1.7361422,-1.5880144,-1.3415755,0.9723742,0.9879724,1.0103476,0.9959073
33,-1.7270155,-1.2164959,-1.0247977,-1.1866769,0.8235416,0.79083264,0.81413925,0.8459559
34,-3.0330782,-2.451687,-2.1291206,-2.2266207,0.92376643,0.9798467,0.94853103,0.98559356
35,-1.9514587,-1.493506,-1.1668079,-1.0197045,1.0501528,0.9494192,1.0066918,1.0286908
36,-1.957294,-1.7561668,-1.6183271,-1.350754,1.0616896,1.018478,0.9787311,1.0342106
37,-2.0890038,-1.4530709,-1.1797979,-1.3339767,0.7695366,0.7768242,0.8146289,0.79354364
38,-2.2979937,-1.921214,-1.7342623,-1.7922797,1.2430946,1.2670947,1.238198,1.3072839
39,-2.2867703,-1.9892712,-1.8472335,-1.5738885,1.0843772,1.0624949,1.0628445,1.072979
40,-5.549564,-5.12048,-5.078558,-5.211876,1.4818952,1.513512,1.5091656,1.6471752
41,-3.0742939,-2.5683067,-2.3369098,-2.1234913,1.0131587,0.93556,1.0039942,1.090355
42,-1.8188728,-1.4726518,-1.1965767,-0.95409787,0.7933259,0.7516944,0.73787135,0.81090504
43,-3.460543,-3.22894,-2.9809957,-2.7249334,0.8696512,0.797624,0.8083292,0.8250131
44,-2.0438228,-1.7706857,-1.633441,-1.5787387,1.1091967,1.085893,1.1506435,1.2256999
45,-3.4333074,-3.0242763,-2.8837824,-2.7362194,0.94464254,0.94872123,0.98006773,0.95362973
46,-3.4631338,-3.1612103,-2.9711437,-2.611597,0.87055796,0.84600186,0.8531433,0.92325896
47,-2.3234496,-2.0279396,-1.8704907,-1.7306869,0.87557626,0.8738116,0.83150107,0.91734135
48,-2.4292,-2.0069892,-1.8786839,-1.8190423,1.0190868,0.979799,0.9836225,1.0117041
49,-2.1061544,-1.809544,-1.7003826,-1.5703973,0.8126688,0.8480424,0.8171831,0.8397677
50,-1.6178783,-1.2921265,-1.0834497,-0.8847171,0.97931427,0.92233324,1.0226513,0.99922085
51,-2.4334886,-2.2365248,-1.9895833,-1.8072546,0.8725488,0.8859303,0.8901623,0.9217788
52,-2.6252692,-2.367732,-2.1007478,-1.858162,0.89145994,0.8136981,0.8567116,0.8638595
53,-2.343263,-1.8540713,-1.6132805,-1.4110551,0.88299036,0.8893026,0.92639446,0.93895143
54,-2.168183,-1.806135,-1.6422236,-1.4828317,1.0053068,1.0079932,1.0447884,1.0890841
55,-2.2662697,-2.0233495,-1.7747767,-1.4941008,0.8491117,0.8311117,0.7865701,0.79916406
56,-2.8545244,-2.556288,-2.4327776,-2.398486,1.044837,1.0252267,0.9407728,1.0280077
57,-2.9386277,-2.6148365,-2.3841991,-2.0707972,0.9163372,0.8699941,0.8614081,0.87811214
58,-3.398361,-2.9192703,-2.7065315,-2.4982762,0.86922944,0.84652454,0.8221697,0.911025
59,-3.1900566,-2.8819883,-2.7645698,-2.5956318,0.86949444,0.82874453,0.820335,0.9049025
60,-2.327962,-1.9008,-1.6692497,-1.6147399,0.90916365,0.82729006,0.82221454,0.876541
61,-2.0812166,-1.735976,-1.5154318,-1.3988267,0.8580792,0.83038837,0.8368167,0.8678104
62,-2.1271267,-1.6534071,-1.5189506,-1.3043618,0.83323747,0.8097293,0.8913739,0.87228835
63,-1.188587,-0.82092637,-0.57028806,-0.40219465,1.377567,1.332305,1.3457828,1.4079885
64,-2.2727518,-1.7416164,-1.5307593,-1.1459317,0.9517973,0.9457987,0.90547115,0.9536511
65,-1.7499883,-1.3278091,-1.0041171,-1.2271031,1.0436337,1.0326213,1.0470556,1.0148989
66,-2.7167928,-2.3816862,-2.0666406,-1.8567797,1.222165,1.1803089,1.1657702,1.2001256
67,-2.0227077,-1.6111075,-1.3751357,-1.1887305,1.9209557,1.9250062,1.8947212,1.8151288
68,-2.4603355,-2.1350672,-1.8567405,-1.7907407,1.0062233,0.85513216,0.95461786,1.0183189
69,-1.870247,-1.3026192,-1.0447316,-0.939502,1.0747157,1.0073376,1.0051725,1.064291
70,-3.6234908,-3.2277646,-2.9893892,-2.9408715,1.2295744,1.2710558,1.2007636,1.2981573
71,-2.384941,-1.8957938,-1.742291,-1.6174461,1.243341,1.1724635,1.1231549,1.2180133
72,-1.7961905,-1.4140666,-1.3315666,-0.9740186,1.078195,1.097266,1.0411896,1.1728665
73,-2.0394468,-1.4121518,-1.2213714,-1.0823817,1.108904,1.1148701,1.201102,1.0967679
74,-1.522278,-1.0937996,-0.7032474,-0.6734371,1.687635,1.5228007,1.54795,1.6140294
75,-2.1263328,-1.8952076,-1.6065868,-1.2896209,1.3521639,1.1396455,1.5378368,1.5194408
76,-1.6174425,-1.1452546,-0.8672921,-0.67924637,1.0993419,1.0254831,1.1717894,1.0836177
77,-3.150495,-2.8193882,-2.5605674,-2.6443841,1.4007697,1.3224989,1.3864405,1.4767116
78,-2.1460228,-1.7028501,-1.4472516,-1.2574862,1.1411302,1.1491075,1.1514133,1.1598904
79,-3.9099727,-3.4821606,-3.2335048,-3.074353,1.2994746,1.2036135,1.0336403,1.135372
80,-1.9960682,-1.6649551,-1.2562182,-1.0696555,0.9685988,0.9596826,1.0037471,0.96358985
81,-2.794269,-2.2034597,-2.1177123,-2.0511055,1.0148519,1.0249977,0.98438185,1.0044334
82,-3.0979526,-2.7710989,-2.5636597,-2.4627116,1.3214039,1.1985991,1.2750056,1.2881358
83,-2.822151,-2.1990852,-2.1608717,-2.1244924,1.0802461,1.2694502,1.1702605,1.1412613
84,-1.2668035,-0.6963578,-0.5044735,-0.14800337,1.4667624,1.4177684,1.5045449,1.2115318
